#  Interpolation error = 2.8146680E-08
# Normalising constant = 3.9413096E-01
 #      X             PDF_ex          PDF_ap           err
-2.477419   2.00892190E-02   0.020090   -0.000019   
-2.472581   2.03239278E-02   0.020324   -0.000014   
-2.467742   2.05609118E-02   0.020561   -0.000000   
-2.467742   2.05609118E-02   0.020561   0.000000   
-2.462903   2.08001868E-02   0.020800   0.000014   
-2.458065   2.10417686E-02   0.021041   0.000018   
-2.453226   2.12856727E-02   0.021285   0.000016   
-2.448387   2.15319151E-02   0.021532   0.000010   
-2.443548   2.17805115E-02   0.021780   0.000001   
-2.438710   2.20314778E-02   0.022032   -0.000008   
-2.433871   2.22848298E-02   0.022285   -0.000015   
-2.429032   2.25405833E-02   0.022541   -0.000018   
-2.424194   2.27987542E-02   0.022799   -0.000014   
-2.419355   2.30593585E-02   0.023059   0.000000   
-2.419355   2.30593585E-02   0.023059   -0.000000   
-2.414516   2.33224120E-02   0.023322   0.000013   
-2.409677   2.35879307E-02   0.023588   0.000017   
-2.404839   2.38559305E-02   0.023856   0.000016   
-2.400000   2.41264273E-02   0.024126   0.000009   
-2.395161   2.43994372E-02   0.024399   0.000001   
-2.390323   2.46749760E-02   0.024675   -0.000008   
-2.385484   2.49530598E-02   0.024953   -0.000015   
-2.380645   2.52337045E-02   0.025234   -0.000017   
-2.375806   2.55169261E-02   0.025517   -0.000013   
-2.370968   2.58027406E-02   0.025803   -0.000000   
-2.370968   2.58027406E-02   0.025803   0.000000   
-2.366129   2.60911640E-02   0.026091   0.000012   
-2.361290   2.63822124E-02   0.026382   0.000017   
-2.356452   2.66759015E-02   0.026676   0.000015   
-2.351613   2.69722476E-02   0.026972   0.000009   
-2.346774   2.72712664E-02   0.027271   0.000001   
-2.341935   2.75729741E-02   0.027573   -0.000008   
-2.337097   2.78773866E-02   0.027878   -0.000014   
-2.332258   2.81845198E-02   0.028185   -0.000016   
-2.327419   2.84943897E-02   0.028495   -0.000012   
-2.322581   2.88070123E-02   0.028807   -0.000000   
-2.322581   2.88070123E-02   0.028807   0.000000   
-2.317742   2.91224034E-02   0.029122   0.000012   
-2.312903   2.94405789E-02   0.029440   0.000016   
-2.308065   2.97615548E-02   0.029761   0.000014   
-2.303226   3.00853470E-02   0.030085   0.000008   
-2.298387   3.04119712E-02   0.030412   0.000001   
-2.293548   3.07414433E-02   0.030742   -0.000007   
-2.288710   3.10737792E-02   0.031074   -0.000013   
-2.283871   3.14089945E-02   0.031409   -0.000016   
-2.279032   3.17471051E-02   0.031747   -0.000012   
-2.274194   3.20881267E-02   0.032088   0.000000   
-2.274194   3.20881267E-02   0.032088   0.000000   
-2.269355   3.24320750E-02   0.032432   0.000011   
-2.264516   3.27789656E-02   0.032778   0.000015   
-2.259677   3.31288143E-02   0.033128   0.000014   
-2.254839   3.34816365E-02   0.033481   0.000008   
-2.250000   3.38374478E-02   0.033837   0.000001   
-2.245161   3.41962638E-02   0.034197   -0.000007   
-2.240323   3.45581000E-02   0.034559   -0.000013   
-2.235484   3.49229717E-02   0.034923   -0.000015   
-2.230645   3.52908944E-02   0.035291   -0.000011   
-2.225806   3.56618834E-02   0.035662   -0.000000   
-2.225806   3.56618834E-02   0.035662   0.000000   
-2.220968   3.60359540E-02   0.036036   0.000011   
-2.216129   3.64131215E-02   0.036413   0.000014   
-2.211290   3.67934010E-02   0.036793   0.000013   
-2.206452   3.71768077E-02   0.037177   0.000008   
-2.201613   3.75633566E-02   0.037563   0.000001   
-2.196774   3.79530629E-02   0.037953   -0.000007   
-2.191935   3.83459414E-02   0.038346   -0.000012   
-2.187097   3.87420071E-02   0.038743   -0.000014   
