 #   I      PAC(ITL)         (I-1)/NPM1           I/NPM1            PAC(ITU)            PAC(I)
   96  0.732936   7.48031496063E-01   0.755906   0.777978   0.924917
   97  0.748441   7.55905511811E-01   0.763780   0.791977   0.931550
   98  0.763461   7.63779527559E-01   0.771654   0.791977   0.937732
   99  0.763461   7.71653543307E-01   0.779528   0.805447   0.943480
  100  0.777978   7.79527559055E-01   0.787402   0.805447   0.948814
  101  0.777978   7.87401574803E-01   0.795276   0.818376   0.953752
  102  0.791977   7.95275590551E-01   0.803150   0.818376   0.958312
  103  0.791977   8.03149606299E-01   0.811024   0.830760   0.962514
  104  0.805447   8.11023622047E-01   0.818898   0.842594   0.966378
  105  0.818376   8.18897637795E-01   0.826772   0.842594   0.969922
  106  0.818376   8.26771653543E-01   0.834646   0.853877   0.973167
  107  0.830760   8.34645669291E-01   0.842520   0.853877   0.976129
  108  0.830760   8.42519685039E-01   0.850394   0.864611   0.978828
  109  0.842594   8.50393700787E-01   0.858268   0.874798   0.981282
  110  0.853877   8.58267716535E-01   0.866142   0.884445   0.983507
  111  0.864611   8.66141732283E-01   0.874016   0.884445   0.985521
  112  0.864611   8.74015748031E-01   0.881890   0.893560   0.987339
  113  0.874798   8.81889763780E-01   0.889764   0.897920   0.988977
  114  0.884445   8.89763779528E-01   0.897638   0.902152   0.990449
  115  0.893560   8.97637795276E-01   0.905512   0.910233   0.991769
  116  0.902152   9.05511811024E-01   0.913386   0.917817   0.992950
  117  0.910233   9.13385826772E-01   0.921260   0.924917   0.994005
  118  0.917817   9.21259842520E-01   0.929134   0.937732   0.994944
  119  0.924917   9.29133858268E-01   0.937008   0.943480   0.995778
  120  0.931550   9.37007874016E-01   0.944882   0.953752   0.996518
  121  0.943480   9.44881889764E-01   0.952756   0.958312   0.997173
  122  0.948814   9.52755905512E-01   0.960630   0.966378   0.997750
  123  0.958312   9.60629921260E-01   0.968504   0.973167   0.998259
  124  0.966378   9.68503937008E-01   0.976378   0.981282   0.998706
  125  0.976129   9.76377952756E-01   0.984252   0.987339   0.999098
  126  0.983507   9.84251968504E-01   0.992126   0.994005   0.999441
  127  0.991769   9.92125984252E-01   1.000000   0.000000   0.999740
