#  Interpolation error = 2.8146680E-08
# Normalising constant = 3.9413096E-01
 #     X           PDF(X)          A             B             C           error
0.822581  2.838766E-01 -0.018914  -0.000510  0.980576  0.000000
0.870968  2.728164E-01 -0.020004  -0.000526  0.979471  0.000000
0.919355  2.615924E-01 -0.021091  -0.000542  0.978367  0.000000
0.967742  2.502613E-01 -0.022175  -0.000559  0.977265  0.000000
1.016129  2.388778E-01 -0.023258  -0.000577  0.976165  0.000000
1.064516  2.274949E-01 -0.024337  -0.000596  0.975067  0.000000
1.112903  2.161631E-01 -0.025414  -0.000616  0.973970  0.000000
1.161290  2.049297E-01 -0.026489  -0.000637  0.972875  0.000000
1.209677  1.938395E-01 -0.027561  -0.000658  0.971781  0.000000
1.258065  1.829335E-01 -0.014540  -0.000169  0.985291  0.000000
1.282258  1.775615E-01 -0.014816  -0.000172  0.985013  0.000000
1.306452  1.722495E-01 -0.015091  -0.000174  0.984734  0.000000
1.330645  1.670016E-01 -0.015366  -0.000177  0.984456  0.000000
1.354839  1.618216E-01 -0.015641  -0.000180  0.984179  0.000000
1.379032  1.567134E-01 -0.015916  -0.000183  0.983901  0.000000
1.403226  1.516802E-01 -0.016190  -0.000187  0.983623  0.000000
1.427419  1.467254E-01 -0.016465  -0.000190  0.983345  0.000000
1.451613  1.418518E-01 -0.032884  -0.000779  0.966338  0.000000
1.500000  1.323594E-01 -0.033941  -0.000805  0.965254  0.000000
1.548387  1.232220E-01 -0.034995  -0.000833  0.964172  0.000000
1.596774  1.144553E-01 -0.036048  -0.000861  0.963091  0.000000
1.645161  1.060711E-01 -0.037097  -0.000890  0.962012  0.000000
1.693548  9.807805E-02 -0.038144  -0.000920  0.960935  0.000000
1.741935  9.048164E-02 -0.039189  -0.000951  0.959860  0.000000
1.790323  8.328426E-02 -0.040231  -0.000983  0.958786  0.000000
1.838710  7.648550E-02 -0.041271  -0.001016  0.957713  0.000000
1.887097  7.008242E-02 -0.042308  -0.001049  0.956642  0.000000
1.935484  6.406972E-02 -0.043343  -0.001084  0.955573  0.000000
